code;parent;fr;nl;de;alt_fr;alt_nl;alt_de;start;end;exactmatch1
121;;Association d'assurances mutuelles de droit public;Onderlinge verzekeringsvereniging van publiek recht;Öffentlich-rechtliche Versicherungsvereinigung auf Gegenseitigkeit;SAM DPU;OVV PR;ÖrVgGe;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/121
123;;Corporation professionnelle / Ordre;Beroepsvereniging / Orde;Berufsverband / Kammer;CP ORDRE;BV ORDEN;Ber-Kam;01/01/1800;30/06/2003;
124;;Etablissement public;Openbare instelling;Öffentliche Einrichtung;ETSPUBLI;OI;ÖE;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/124
125;;Association internationale sans but lucratif;Internationale vereniging zonder winstoogmerk;Internationale Vereinigung ohne Gewinnerzielungsabsicht;AISBL;IVZW;IVoG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/125
127;;Monts-de-Piété;Berg van Barmhartigheid;Pfandleihhaus;PIETE;BVB;LH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/127
128;;Temporel des cultes / Établissement cultuel public;Eredienst;Kult;TEMPCULT;EREDIENS;K;01/01/1800;30/06/2003;
129;;Polder / wateringue;Polder / Watering;Entwässerungsgenossenschaft / Bewässerungsgenossenschaft;PW;PW;Ewg-Bwg;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/129
151;;Autre forme juridique;Andere rechtsvorm;Andere Rechtsform;AFJ;AV;ARF;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/151
160;;Organisme public étranger ou international;Buitenlandse of internationale publieke organisatie;Ausländische oder internationale öffentliche Einrichtungen;OPEI;BIPO;AIÖE;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/160
200;;Société en formation;Vennootschap in oprichting;In Gründung befindliche Gesellschaft;SF;VV;GbG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/200
206;;Société civile sous forme de société coopérative à responsabilité illimitée;Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met onbeperkte aansprakelijkheid;Zivilrechtliche Gesellschaft in der Rechtsform einer Genossenschaft mit unbeschränkter Haftung;SC SCRI;BV CVOA;ZvGGugcH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/206
208;;Société civile sous forme de société coopérative à responsabilité limitée;Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met beperkte aansprakelijkheid;Zivilrechtliche Gesellschaft in der Rechtsform einer Genossenschaft mit beschränkter Haftung;SC SCRL;BV CVBA;ZvGGbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/208
211;;Société civile sous forme de société en nom collectif;Burgerlijke vennootschap onder vorm van vennootschap onder firma;Zivilrechtliche Gesellschaft in der Rechtsform einer offenen Handelsgesellschaft;SC SNC;BV VOF;ZRG OHG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/211
